trade_id,timestamp,trader_id,account_id,instrument,order_type,order_size,price,order_status,cancel_time_ms,session_id
TRD-L001,2026-05-20 09:44:00,T-1042,A-1042,HDFCBANK,BUY,47000,1622.50,CANCELLED,520,SES-1042-A
TRD-L002,2026-05-20 09:44:12,T-1042,A-1042,HDFCBANK,BUY,51000,1624.00,CANCELLED,480,SES-1042-A
TRD-L003,2026-05-20 09:44:23,T-1042,A-1042,HDFCBANK,BUY,48500,1623.50,CANCELLED,610,SES-1042-A
TRD-L004,2026-05-20 09:44:35,T-1042,A-1042,HDFCBANK,BUY,53000,1625.00,CANCELLED,550,SES-1042-A
TRD-L005,2026-05-20 09:44:47,T-1042,A-1042,HDFCBANK,BUY,46000,1621.50,CANCELLED,430,SES-1042-A
TRD-L006,2026-05-20 09:45:00,T-1042,A-1042,HDFCBANK,BUY,50000,1626.00,CANCELLED,700,SES-1042-A
TRD-L007,2026-05-20 09:45:12,T-1042,A-1042,HDFCBANK,BUY,54000,1628.50,CANCELLED,460,SES-1042-A
TRD-L008,2026-05-20 09:45:24,T-1042,A-1042,HDFCBANK,BUY,49000,1627.00,CANCELLED,580,SES-1042-A
TRD-L009,2026-05-20 09:45:36,T-1042,A-1042,HDFCBANK,BUY,52000,1630.00,CANCELLED,640,SES-1042-A
TRD-L010,2026-05-20 09:45:48,T-1042,A-1042,HDFCBANK,BUY,47500,1629.50,CANCELLED,490,SES-1042-A
TRD-L011,2026-05-20 09:46:00,T-1042,A-1042,HDFCBANK,BUY,55000,1631.00,CANCELLED,760,SES-1042-A
TRD-L012,2026-05-20 09:46:20,T-1042,A-1042,HDFCBANK,BUY,50500,1633.50,CANCELLED,420,SES-1042-A
TRD-L013,2026-05-20 09:46:40,T-1042,A-1042,HDFCBANK,SELL,48000,1641.00,EXECUTED,0,SES-1042-A
TRD-L014,2026-05-20 09:47:00,T-1042,A-1042,HDFCBANK,SELL,51000,1641.00,EXECUTED,0,SES-1042-A
TRD-S001,2026-05-21 10:15:00,T-2891,A-2891,RELIANCE,BUY,80000,2892.00,CANCELLED,220,SES-2891-B
TRD-S002,2026-05-21 10:15:08,T-2891,A-2891,RELIANCE,BUY,80000,2894.50,CANCELLED,195,SES-2891-B
TRD-S003,2026-05-21 10:15:16,T-2891,A-2891,RELIANCE,BUY,80000,2896.00,CANCELLED,340,SES-2891-B
TRD-S004,2026-05-21 10:15:24,T-2891,A-2891,RELIANCE,BUY,80000,2898.50,CANCELLED,280,SES-2891-B
TRD-S005,2026-05-21 10:15:32,T-2891,A-2891,RELIANCE,BUY,80000,2900.00,CANCELLED,180,SES-2891-B
TRD-S006,2026-05-21 10:15:40,T-2891,A-2891,RELIANCE,BUY,80000,2901.50,CANCELLED,450,SES-2891-B
TRD-S007,2026-05-21 10:15:48,T-2891,A-2891,RELIANCE,BUY,80000,2903.00,CANCELLED,390,SES-2891-B
TRD-S008,2026-05-21 10:16:00,T-2891,A-2891,RELIANCE,BUY,80000,2905.00,CANCELLED,490,SES-2891-B
TRD-S009,2026-05-21 10:16:30,T-2891,A-2891,RELIANCE,SELL,80000,2912.00,EXECUTED,0,SES-2891-B
TRD-W001,2026-05-22 11:30:00,T-3301,A-3301,INFY,BUY,10000,1845.00,EXECUTED,0,SES-3301-C1
TRD-W002,2026-05-22 11:30:18,T-3301,A-3302,INFY,SELL,10000,1846.00,EXECUTED,0,SES-3301-C2
TRD-N001,2026-05-20 09:15:32,T-0001,A-0001,HDFCBANK,BUY,500,1618.50,EXECUTED,0,SES-0001-A
TRD-N002,2026-05-20 09:17:45,T-0002,A-0002,RELIANCE,SELL,300,2885.00,EXECUTED,0,SES-0002-A
TRD-N003,2026-05-20 09:20:10,T-0003,A-0003,INFY,BUY,1000,1840.00,EXECUTED,0,SES-0003-A
TRD-N004,2026-05-20 09:22:33,T-0004,A-0004,TCS,SELL,200,3850.00,EXECUTED,0,SES-0004-A
TRD-N005,2026-05-20 09:25:18,T-0005,A-0005,ICICIBANK,BUY,750,1125.50,EXECUTED,0,SES-0005-A
TRD-N006,2026-05-20 09:27:42,T-0006,A-0006,WIPRO,SELL,1500,465.00,EXECUTED,0,SES-0006-A
TRD-N007,2026-05-20 09:30:05,T-0007,A-0007,SBIN,BUY,2000,785.00,EXECUTED,0,SES-0007-A
TRD-N008,2026-05-20 09:32:19,T-0008,A-0008,HDFCBANK,SELL,400,1620.00,EXECUTED,0,SES-0008-A
TRD-N009,2026-05-20 09:34:44,T-0009,A-0009,RELIANCE,BUY,600,2888.00,CANCELLED,1200,SES-0009-A
TRD-N010,2026-05-20 09:37:08,T-0010,A-0010,INFY,SELL,800,1842.00,EXECUTED,0,SES-0010-A
TRD-N011,2026-05-20 09:39:33,T-0011,A-0011,TCS,BUY,350,3855.00,EXECUTED,0,SES-0011-A
TRD-N012,2026-05-20 09:41:57,T-0012,A-0012,ICICIBANK,SELL,900,1128.00,EXECUTED,0,SES-0012-A
TRD-N013,2026-05-20 09:48:21,T-0013,A-0013,WIPRO,BUY,1200,467.50,EXECUTED,0,SES-0013-A
TRD-N014,2026-05-20 09:50:46,T-0014,A-0014,SBIN,SELL,1800,788.00,EXECUTED,0,SES-0014-A
TRD-N015,2026-05-20 09:53:10,T-0015,A-0015,HDFCBANK,BUY,250,1619.00,EXECUTED,0,SES-0015-A
TRD-N016,2026-05-20 09:55:35,T-0016,A-0016,RELIANCE,SELL,450,2890.00,CANCELLED,980,SES-0016-A
TRD-N017,2026-05-20 09:57:59,T-0017,A-0017,INFY,BUY,700,1843.50,EXECUTED,0,SES-0017-A
TRD-N018,2026-05-20 10:00:23,T-0018,A-0018,TCS,SELL,1100,3860.00,EXECUTED,0,SES-0018-A
TRD-N019,2026-05-20 10:02:48,T-0019,A-0019,ICICIBANK,BUY,850,1130.00,EXECUTED,0,SES-0019-A
TRD-N020,2026-05-20 10:05:12,T-0020,A-0020,WIPRO,SELL,2000,470.00,EXECUTED,0,SES-0020-A
TRD-N021,2026-05-20 10:07:36,T-0021,A-0021,SBIN,BUY,500,790.00,EXECUTED,0,SES-0021-A
TRD-N022,2026-05-20 10:10:01,T-0022,A-0022,HDFCBANK,SELL,1500,1622.00,EXECUTED,0,SES-0022-A
TRD-N023,2026-05-20 10:12:25,T-0023,A-0023,RELIANCE,BUY,300,2892.50,EXECUTED,0,SES-0023-A
TRD-N024,2026-05-20 10:14:50,T-0024,A-0024,INFY,SELL,950,1846.00,EXECUTED,0,SES-0024-A
TRD-N025,2026-05-20 10:17:14,T-0025,A-0025,TCS,BUY,400,3858.00,EXECUTED,0,SES-0025-A
TRD-N026,2026-05-20 10:19:38,T-0026,A-0026,ICICIBANK,SELL,600,1132.50,CANCELLED,1500,SES-0026-A
TRD-N027,2026-05-20 10:22:03,T-0027,A-0027,WIPRO,BUY,1000,468.00,EXECUTED,0,SES-0027-A
TRD-N028,2026-05-20 10:24:27,T-0028,A-0028,SBIN,SELL,2500,792.00,EXECUTED,0,SES-0028-A
TRD-N029,2026-05-20 10:26:52,T-0029,A-0029,HDFCBANK,BUY,700,1621.50,EXECUTED,0,SES-0029-A
TRD-N030,2026-05-20 10:29:16,T-0030,A-0030,RELIANCE,SELL,1200,2895.00,EXECUTED,0,SES-0030-A
TRD-N031,2026-05-20 10:31:40,T-0031,A-0031,INFY,BUY,800,1841.00,EXECUTED,0,SES-0031-A
TRD-N032,2026-05-20 10:34:05,T-0032,A-0032,TCS,SELL,1500,3862.00,EXECUTED,0,SES-0032-A
TRD-N033,2026-05-20 10:36:29,T-0033,A-0033,ICICIBANK,BUY,2000,1127.00,EXECUTED,0,SES-0033-A
TRD-N034,2026-05-20 10:38:54,T-0034,A-0034,WIPRO,SELL,300,472.00,EXECUTED,0,SES-0034-A
TRD-N035,2026-05-20 10:41:18,T-0035,A-0035,SBIN,BUY,1800,793.00,EXECUTED,0,SES-0035-A
TRD-N036,2026-05-20 10:43:42,T-0036,A-0036,HDFCBANK,SELL,500,1623.00,CANCELLED,2100,SES-0036-A
TRD-N037,2026-05-20 10:46:07,T-0037,A-0037,RELIANCE,BUY,900,2897.00,EXECUTED,0,SES-0037-A
TRD-N038,2026-05-20 10:48:31,T-0038,A-0038,INFY,SELL,1100,1848.00,EXECUTED,0,SES-0038-A
TRD-N039,2026-05-20 10:50:56,T-0039,A-0039,TCS,BUY,600,3856.00,EXECUTED,0,SES-0039-A
TRD-N040,2026-05-20 10:53:20,T-0040,A-0040,ICICIBANK,SELL,2500,1133.00,EXECUTED,0,SES-0040-A
TRD-N041,2026-05-20 10:55:44,T-0041,A-0041,WIPRO,BUY,1500,469.50,EXECUTED,0,SES-0041-A
TRD-N042,2026-05-20 10:58:09,T-0042,A-0042,SBIN,SELL,400,795.00,EXECUTED,0,SES-0042-A
TRD-N043,2026-05-20 11:00:33,T-0043,A-0043,HDFCBANK,BUY,1000,1624.00,EXECUTED,0,SES-0043-A
TRD-N044,2026-05-20 11:02:57,T-0044,A-0044,RELIANCE,SELL,750,2900.00,EXECUTED,0,SES-0044-A
TRD-N045,2026-05-20 11:05:22,T-0045,A-0045,INFY,BUY,200,1844.50,EXECUTED,0,SES-0045-A
TRD-N046,2026-05-20 11:07:46,T-0046,A-0046,TCS,SELL,1800,3865.00,EXECUTED,0,SES-0046-A
TRD-N047,2026-05-20 11:10:10,T-0047,A-0047,ICICIBANK,BUY,300,1129.50,EXECUTED,0,SES-0047-A
TRD-N048,2026-05-20 11:12:35,T-0048,A-0048,WIPRO,SELL,900,473.00,CANCELLED,1800,SES-0048-A
TRD-N049,2026-05-20 11:14:59,T-0049,A-0049,SBIN,BUY,700,796.00,EXECUTED,0,SES-0049-A
TRD-N050,2026-05-20 11:17:24,T-0050,A-0050,HDFCBANK,SELL,2000,1626.00,EXECUTED,0,SES-0050-A
TRD-N051,2026-05-20 11:19:48,T-0051,A-0051,RELIANCE,BUY,1200,2902.00,EXECUTED,0,SES-0051-A
TRD-N052,2026-05-20 11:22:12,T-0052,A-0052,INFY,SELL,500,1847.00,EXECUTED,0,SES-0052-A
TRD-N053,2026-05-20 11:24:37,T-0053,A-0053,TCS,BUY,850,3859.00,EXECUTED,0,SES-0053-A
TRD-N054,2026-05-20 11:27:01,T-0054,A-0054,ICICIBANK,SELL,1600,1135.00,EXECUTED,0,SES-0054-A
TRD-N055,2026-05-20 11:29:26,T-0055,A-0055,WIPRO,BUY,2000,471.50,EXECUTED,0,SES-0055-A
TRD-N056,2026-05-20 11:31:50,T-0056,A-0056,SBIN,SELL,1500,797.00,EXECUTED,0,SES-0056-A
TRD-N057,2026-05-20 11:34:14,T-0057,A-0057,HDFCBANK,BUY,400,1625.50,EXECUTED,0,SES-0057-A
TRD-N058,2026-05-20 11:36:39,T-0058,A-0058,RELIANCE,SELL,600,2905.00,EXECUTED,0,SES-0058-A
TRD-N059,2026-05-20 11:39:03,T-0059,A-0059,INFY,BUY,1000,1849.00,EXECUTED,0,SES-0059-A
TRD-N060,2026-05-20 11:41:27,T-0060,A-0060,TCS,SELL,300,3868.00,EXECUTED,0,SES-0060-A
TRD-N061,2026-05-20 11:43:52,T-0061,A-0061,ICICIBANK,BUY,2500,1131.00,EXECUTED,0,SES-0061-A
TRD-N062,2026-05-20 11:46:16,T-0062,A-0062,WIPRO,SELL,800,474.50,EXECUTED,0,SES-0062-A
TRD-N063,2026-05-20 11:48:40,T-0063,A-0063,SBIN,BUY,1200,798.50,EXECUTED,0,SES-0063-A
TRD-N064,2026-05-20 11:51:05,T-0064,A-0064,HDFCBANK,SELL,1800,1628.00,CANCELLED,900,SES-0064-A
TRD-N065,2026-05-20 11:53:29,T-0065,A-0065,RELIANCE,BUY,900,2908.00,EXECUTED,0,SES-0065-A
TRD-N066,2026-05-20 11:55:54,T-0066,A-0066,INFY,SELL,1500,1851.00,EXECUTED,0,SES-0066-A
TRD-N067,2026-05-20 11:58:18,T-0067,A-0067,TCS,BUY,500,3862.00,EXECUTED,0,SES-0067-A
TRD-N068,2026-05-20 12:00:42,T-0068,A-0068,ICICIBANK,SELL,700,1136.50,EXECUTED,0,SES-0068-A
TRD-N069,2026-05-20 12:03:07,T-0069,A-0069,WIPRO,BUY,1000,476.00,EXECUTED,0,SES-0069-A
TRD-N070,2026-05-20 12:05:31,T-0070,A-0070,SBIN,SELL,2000,800.00,EXECUTED,0,SES-0070-A
TRD-N071,2026-05-20 12:07:55,T-0071,A-0071,HDFCBANK,BUY,600,1627.00,EXECUTED,0,SES-0071-A
TRD-N072,2026-05-20 12:10:20,T-0072,A-0072,RELIANCE,SELL,1100,2910.00,EXECUTED,0,SES-0072-A
TRD-N073,2026-05-20 12:12:44,T-0073,A-0073,INFY,BUY,800,1850.00,EXECUTED,0,SES-0073-A
TRD-N074,2026-05-20 12:15:09,T-0074,A-0074,TCS,SELL,1400,3870.00,EXECUTED,0,SES-0074-A
TRD-N075,2026-05-20 12:17:33,T-0075,A-0075,ICICIBANK,BUY,2000,1138.00,EXECUTED,0,SES-0075-A
TRD-N076,2026-05-20 12:19:57,T-0076,A-0076,WIPRO,SELL,500,477.50,CANCELLED,1600,SES-0076-A
TRD-N077,2026-05-20 12:22:22,T-0077,A-0077,SBIN,BUY,1500,801.00,EXECUTED,0,SES-0077-A
TRD-N078,2026-05-20 12:24:46,T-0078,A-0078,HDFCBANK,SELL,900,1630.00,EXECUTED,0,SES-0078-A
TRD-N079,2026-05-20 12:27:10,T-0079,A-0079,RELIANCE,BUY,700,2912.00,EXECUTED,0,SES-0079-A
TRD-N080,2026-05-20 12:29:35,T-0080,A-0080,INFY,SELL,300,1853.00,EXECUTED,0,SES-0080-A
TRD-N081,2026-05-20 12:31:59,T-0081,A-0081,TCS,BUY,1000,3865.00,EXECUTED,0,SES-0081-A
TRD-N082,2026-05-20 12:34:24,T-0082,A-0082,ICICIBANK,SELL,1800,1140.00,EXECUTED,0,SES-0082-A
TRD-N083,2026-05-20 12:36:48,T-0083,A-0083,WIPRO,BUY,2500,479.00,EXECUTED,0,SES-0083-A
TRD-N084,2026-05-20 12:39:12,T-0084,A-0084,SBIN,SELL,1200,803.00,EXECUTED,0,SES-0084-A
TRD-N085,2026-05-20 12:41:37,T-0085,A-0085,HDFCBANK,BUY,400,1629.00,EXECUTED,0,SES-0085-A
TRD-N086,2026-05-20 12:44:01,T-0086,A-0086,RELIANCE,SELL,2000,2915.00,EXECUTED,0,SES-0086-A
TRD-N087,2026-05-20 12:46:25,T-0087,A-0087,INFY,BUY,600,1852.00,EXECUTED,0,SES-0087-A
TRD-N088,2026-05-20 12:48:50,T-0088,A-0088,TCS,SELL,800,3872.00,EXECUTED,0,SES-0088-A
TRD-N089,2026-05-20 12:51:14,T-0089,A-0089,ICICIBANK,BUY,1400,1142.50,CANCELLED,2200,SES-0089-A
TRD-N090,2026-05-20 12:53:38,T-0090,A-0090,WIPRO,SELL,1000,480.50,EXECUTED,0,SES-0090-A
TRD-N091,2026-05-20 12:56:03,T-0091,A-0091,SBIN,BUY,2500,804.00,EXECUTED,0,SES-0091-A
TRD-N092,2026-05-20 12:58:27,T-0092,A-0092,HDFCBANK,SELL,700,1631.50,EXECUTED,0,SES-0092-A
TRD-N093,2026-05-20 13:00:52,T-0093,A-0093,RELIANCE,BUY,1500,2918.00,EXECUTED,0,SES-0093-A
TRD-N094,2026-05-20 13:03:16,T-0094,A-0094,INFY,SELL,900,1855.00,EXECUTED,0,SES-0094-A
TRD-N095,2026-05-20 13:05:40,T-0095,A-0095,TCS,BUY,200,3868.00,EXECUTED,0,SES-0095-A
TRD-N096,2026-05-20 13:08:05,T-0096,A-0096,ICICIBANK,SELL,2000,1144.00,EXECUTED,0,SES-0096-A
